Company,Job Title,Location,Category,Contact Email,Apply URL,Team Size
Dust,"Founding Solutions Engineer, Post-Sales",San Francisco,🔌 Integrations / Systems / Tech,hello@dust.tt,https://jobs.ashbyhq.com/dust/4258daef-22e3-42cf-9de1-54bf500f5801,11-50
Dust,Solutions Engineer,San Francisco,🔌 Integrations / Systems / Tech,hello@dust.tt,https://jobs.ashbyhq.com/dust/b310c837-22e8-4d23-8a5a-d0b1f71fa1db,11-50
Dust,Solutions Engineer,Paris,🔌 Integrations / Systems / Tech,hello@dust.tt,https://jobs.ashbyhq.com/dust/54d23ce3-f59f-447f-87a4-4549a6a8074f,11-50
Dust,Solutions Engineer Post-Sales,Paris,🔌 Integrations / Systems / Tech,hello@dust.tt,https://jobs.ashbyhq.com/dust/cde42464-4844-4545-a1cd-b88f494d2661,11-50
Dynamic Pricing AI,Python Web Scraping Developer,Sofia,🔌 Integrations / Systems / Tech,sales@dynamicpricing.ai,https://dynamicpricing.ai/python-web-scraping-developer/,11-50
Dynamic Pricing AI,Senior Full Stack Developer,Sofia,🔌 Integrations / Systems / Tech,sales@dynamicpricing.ai,https://dynamicpricing.ai/senior-full-stack-developer/,11-50
Dynamic Pricing AI,Senior Java Backend Developer,Sofia,🔌 Integrations / Systems / Tech,sales@dynamicpricing.ai,https://dynamicpricing.ai/java-backend-developer/,11-50
Eitje,Senior Frontend Developer,Amsterdam,🔌 Integrations / Systems / Tech,info@eitje.app,https://eitje.app/vacatures/,2-10
Exhibitly.ai,Full-Stack Developer,Ghent,🔌 Integrations / Systems / Tech,info@exhibitly.ai,https://exhibitly.ai/careers/founding-full-stack-engineer,2-10
FELS Group,Chief Integration Officer,Kelkheim,🔌 Integrations / Systems / Tech,service@followmymoney.de,https://followmymoney.de/team,11-50
Finqware,Junior Software Developer 🇷🇴 Romania,Cluj-Napoca,🔌 Integrations / Systems / Tech,info@finqware.com,https://finqware.com/careers/junior-software-developer/,10-20
FixForm,Fullstack Developer,Ghent,🔌 Integrations / Systems / Tech,info@fixform.com,https://www.fixform.com/jobs/full-stack-sales,10-15
FlexiDAO,Senior Backend / TypeScript Developer (Insights & BI),Barcelona,🔌 Integrations / Systems / Tech,careers@flexidao.com,https://flexidao.jobs.personio.com/job/2568702,33-42
Flexion,Product Manager - Developer Tools,Zurich,🔌 Integrations / Systems / Tech,contact@flexion.ai,https://flexion.ai/careers/567cbc,31-50
Flox,AI Systems Engineer (Edge),Stockholm,🔌 Integrations / Systems / Tech,hello@floxrobotics.com,https://floxrobotics.com/career/ai-systems-engineer-edge,10-50
Flox,Product Systems Architect,Stockholm,🔌 Integrations / Systems / Tech,hello@floxrobotics.com,https://floxrobotics.com/career/product-systems-architect,10-50
Futurae Technologies,Senior Solutions Engineer,Remote,🔌 Integrations / Systems / Tech,info@futurae.com,https://apply.workable.com/futurae/j/0599827D44/,11-50
GitButler,Gerrit Developer,Berlin,🔌 Integrations / Systems / Tech,info@gitbutler.com,https://jobs.gitbutler.com/jobs/gerrit-developer,11-50
Grand Games,Game Developer,Istanbul,🔌 Integrations / Systems / Tech,info@grand.gs,https://jobs.lever.co/grand/800e31c8-10af-40eb-9026-701cce7b8c8a,14-40
Graphext,Developer,Remote,🔌 Integrations / Systems / Tech,hello@graphext.com,https://www.graphext.com/about-us,20-25
Happl,QA Automation Engineer,London,🔌 Integrations / Systems / Tech,hello@happl.com,https://jobs.ashbyhq.com/happl/91d72315-c355-4cac-910d-1526976d4d86,11-22
Hook,Pre-Sales / Solutions Consultant,London,🔌 Integrations / Systems / Tech,contact@hook.co,https://jobs.ashbyhq.com/hook/8ecb85f2-e833-41da-8282-504c5bc9232c,40-50
ISAAC,Business Developer,Milano,🔌 Integrations / Systems / Tech,info@isaacsrl.com,https://isaacantisismica.com/en/work-with-us,20-49
Invert Bio,Solutions Engineer,San Francisco,🔌 Integrations / Systems / Tech,alex@invertbio.com,https://jobs.ashbyhq.com/invert/fea705b7-10ba-44a8-b28e-919dfabf4a4c,4-10
Iris.ai,Senior NLP / ML Researcher (LLM Evaluation & Agentic Systems),Remote,🔌 Integrations / Systems / Tech,contact@iris.ai,https://irisai.factorialhr.com/job_posting/senior-nlp-ml-researcher-llm-evaluation-agentic-systems-267398,20-50
Iris.ai,Solution Architect - Agentic Solutions (Switzerland / Germany),Remote,🔌 Integrations / Systems / Tech,contact@iris.ai,https://irisai.factorialhr.com/job_posting/solution-architect-agentic-solutions-switzerland-germany-257294,20-50
Kestra,Developer Advocate,Paris,🔌 Integrations / Systems / Tech,contact@kestra.io,https://kestra.io/careers/21f1ffcd-ecc3-402c-8ab3-0e2cf19ab461-developer-advocate,11-50
Kestra,Developer Community Manager,Paris,🔌 Integrations / Systems / Tech,contact@kestra.io,https://kestra.io/careers/eb9acfe6-f5bd-46dd-a621-1a2b37f58e94-developer-community-manager,11-50
Koncrete,[Alternance] Commercial / Sales / Business Developer H/F,Paris,🔌 Integrations / Systems / Tech,contact@koncrete.fr,https://www.welcometothejungle.com/en/companies/koncrete/jobs/alternance-commercial-junior_paris,10-50
Koncrete,[Stage] Business Developer H/F,Paris,🔌 Integrations / Systems / Tech,contact@koncrete.fr,https://www.welcometothejungle.com/en/companies/koncrete/jobs/cdi-responsable-commercial_paris,10-50
Koncrete,[Stage] Commercial / Sales / Business Developer H/F,Paris,🔌 Integrations / Systems / Tech,contact@koncrete.fr,https://www.welcometothejungle.com/en/companies/koncrete/jobs/cdi-responsable-commercial_paris,10-50
Kosli,DevOps Engineer in Customer Success and Developer Relations 🚀,Oslo,🔌 Integrations / Systems / Tech,info@kosli.com,https://www.kosli.com/careers/devops-engineer-in-customer-success,30-50
Kosli,Developer Advocate | Kosli Jobs,Oslo,🔌 Integrations / Systems / Tech,info@kosli.com,https://www.kosli.com/careers/developer-advocate,30-50
Kosli,Frontend Developer 🚀,Oslo,🔌 Integrations / Systems / Tech,info@kosli.com,https://www.kosli.com/careers/frontend-developer,30-50
Kosli,"Principal DevOps Solutions Engineer, Europe",Oslo,🔌 Integrations / Systems / Tech,info@kosli.com,https://www.kosli.com/careers/principal-devops-solutions-engineer-europe,30-50
Kosli,"Senior DevOps Solutions Engineer - Edinburgh, Scotland, United Kingdom",Oslo,🔌 Integrations / Systems / Tech,info@kosli.com,https://www.kosli.com/careers/senior-devops-solutions-engineer-united-kingdom,30-50
Kosli,"Senior DevOps Solutions Engineer - Oslo, Norway",Oslo,🔌 Integrations / Systems / Tech,info@kosli.com,https://www.kosli.com/careers/senior-devops-solutions-engineer-oslo,30-50
Kosli,Senior Frontend Developer | Kosli,Oslo,🔌 Integrations / Systems / Tech,info@kosli.com,https://www.kosli.com/careers/senior-frontend-developer,30-50
Kosli,Senior Full Stack Developer 🥞,Oslo,🔌 Integrations / Systems / Tech,info@kosli.com,https://www.kosli.com/careers/senior-fullstack-developer,30-50
LangWatch,Software Developer,Amsterdam,🔌 Integrations / Systems / Tech,info@langwatch.ai,https://www.langwatch.ai/about-us,4-10
Langdock,Account Executive - AI & Enterprise Solutions,Remote,🔌 Integrations / Systems / Tech,info@langdock.com,https://jobs.ashbyhq.com/langdock/28753bed-8898-4721-b457-5c25e641c5f8,11-50
Langdock,Solutions Engineer - m/f/d,Remote,🔌 Integrations / Systems / Tech,info@langdock.com,https://jobs.ashbyhq.com/langdock/7b6bb9ee-d3fd-4f5e-b45b-bc200003b519,11-50
Langfuse,Senior Product Engineer (Integrations),European Union,🔌 Integrations / Systems / Tech,contact@langfuse.com,https://jobs.ashbyhq.com/langfuse/f17768f8-525b-4caa-a8ee-5553a4ff4979,7-13
Lenkie,Business Operations & Automation Manager,London,🔌 Integrations / Systems / Tech,hello@lenkie.com,https://lenkie.com/notion/business-operations-automation-manager,11-50
Level Zero Health,Sr. Microsystems Engineer,London,🔌 Integrations / Systems / Tech,hello@levelzerohealth.com,https://www.levelzerohealth.com,20-30
MAGIC AI,Full Stack Software Developer,London,🔌 Integrations / Systems / Tech,info@magic.fit,https://apply.workable.com/magic-careers/j/2855636159/,25-40
MAHI,"Founder & CTO (gn) @ Stealth DefenceTech (Autonomous Systems), Europe",Amsterdam,🔌 Integrations / Systems / Tech,jobs@mahi.be,https://jobsatlanticvcfoodlabs.recruitee.com/o/founder-cto-gn-stealth-defencetech-autonomous-systems-europe,10-20
MAHI,"Software Developer (gn) @ Autonomous Navigation Venture, Dresden",Dresden,🔌 Integrations / Systems / Tech,jobs@mahi.be,https://jobsatlanticvcfoodlabs.recruitee.com/o/software-developer-gn-autonomous-navigation-venture-dresden,10-20
Mantis Robotics,Robotics Automation Engineer,Leuven,🔌 Integrations / Systems / Tech,info@mantis-robotics.com,https://mantis-robotics.com/archives/careers/robotics-automation-engineer,11-50
Mantis Robotics,Unity Developer,Leuven,🔌 Integrations / Systems / Tech,info@mantis-robotics.com,https://mantis-robotics.com/archives/careers/unity-developer,11-50
Mimo,Senior Frontend Developer,Vienna,🔌 Integrations / Systems / Tech,support@getmimo.com,https://jobs.mimo.org/o/senior-frontend-developer,11-50
Mindpeak,(Senior) Full-stack Developer - Backend Focus (Python),Hamburg,🔌 Integrations / Systems / Tech,info@mindpeak.ai,https://jobs.ashbyhq.com/mindpeak/6b08da94-ae0f-4bea-8c98-c11b3eddd8f7,40-50
Mindpeak,AI driven Senior Backend Developer Python (m/f/d),Hamburg,🔌 Integrations / Systems / Tech,info@mindpeak.ai,https://jobs.ashbyhq.com/mindpeak/81e18b76-8842-4a41-a4c8-0dccde86c326,40-50
Mindpeak,Senior Backend Developer Python (m/f/d),Hamburg,🔌 Integrations / Systems / Tech,info@mindpeak.ai,https://jobs.ashbyhq.com/mindpeak/a5c068e9-fdac-4652-9d96-c3fb4f7c5910,40-50
MyGamePlan,Full Stack Developer,Leuven,🔌 Integrations / Systems / Tech,info@mygameplan.ai,https://mygameplan.ai/careers/full-stack-developer,2-10
NEAT Protect,CHEF DE PROJET IT SOLUTIONS COMMUNICATIONS CLIENTS H/F,Angers,🔌 Integrations / Systems / Tech,hello@neat.eu,https://www.welcometothejungle.com/fr/companies/cnp-assurances/jobs/responsable-support-op-client-h-f_angers,11-50
Nevron,"Mid-Level Front-End Developer (Full-Time, Fully Remote)",Remote,🔌 Integrations / Systems / Tech,hello@nevron.io,https://nevron.io/careers/mid-front-end-developer/,2-10
Nevron,"Senior Java Developer (Full-Time, Fully Remote)",Remote,🔌 Integrations / Systems / Tech,hello@nevron.io,https://nevron.io/careers/senior-java-developer/,2-10
Nomono,Senior Frontend Developer,Trondheim,🔌 Integrations / Systems / Tech,support@nomono.co,https://careers.nomono.co/jobs/7112907-senior-frontend-developer,20-50
ONDO Smart Farming Solutions,Net developer,Sofia,🔌 Integrations / Systems / Tech,info@ondo.io,https://ondo.io/company/careers/net-developer/,11-50
ONIQ,"Frontend Software Developer (TypeScript/React, f/m/d)",Remote,🔌 Integrations / Systems / Tech,jobs@oniq.com,https://oniq.jobs.personio.com/job/819294,15-25
ORamaVR,Game Developer or Real-Time 3D Designer,Geneva,🔌 Integrations / Systems / Tech,info@oramavr.com,https://oramavr.com/job-openings,10-50
PHOENIX AI,Software Developer,Peruwelz,🔌 Integrations / Systems / Tech,sales@phoenix-ai.com,https://phoenix-ai.com/jobs/software-developer,10-13
Peec AI,Business Systems Engineer,Berlin,🔌 Integrations / Systems / Tech,hello@peec.ai,https://jobs.ashbyhq.com/peec/12066491-d86c-48b4-9a48-8b572f56945e,11-50
Powernaut,International Business Developer,Ghent,🔌 Integrations / Systems / Tech,lise@powernaut.io,https://powernaut.io/careers/international-business-developer,15-20
PraxiPal,AI Automation Engineer (m/f/d),Berlin,🔌 Integrations / Systems / Tech,info@praxipal.com,https://jobs.ashbyhq.com/praxipal/7ddc8f3d-2320-43d8-976f-8f5c241a99e8,11-50
Promptwatch,Full-Stack Developer,Amsterdam,🔌 Integrations / Systems / Tech,team@promptwatch.com,https://promptwatch.com/careers/full-stack-developer,2-10
Promptwatch,Mid-Senior Frontend Developer,Amsterdam,🔌 Integrations / Systems / Tech,team@promptwatch.com,https://promptwatch.com/careers/mid-senior-frontend-developer,2-10
Promptwatch,Senior Full-Stack Developer,Amsterdam,🔌 Integrations / Systems / Tech,team@promptwatch.com,https://promptwatch.com/careers/senior-full-stack-developer-2,2-10
Raidyn,Sr. Algorithms Developer,Remote,🔌 Integrations / Systems / Tech,info@raidyn.ai,https://raidyn.ai/about-us,2-10
Rankscale AI,Front-End Developer / Product Designer | Rankscale | Vienna (Hybrid) | Full-time,Vienna,🔌 Integrations / Systems / Tech,jules@rankscale.ai,https://rankscale.ai/careers/frontend-developer-product-designer,2-10
Rankscale AI,Full Stack Developer | Rankscale | Vienna (Hybrid) | Full-time,Vienna,🔌 Integrations / Systems / Tech,jules@rankscale.ai,https://rankscale.ai/careers/full-stack-developer,2-10
Relu,Growth Engineer (Commercial & AI Automation),Leuven,🔌 Integrations / Systems / Tech,info@relu.ai,https://relu.jobs.personio.com/job/2546075,17-22
Roundtable,Senior Backend Developer (M/F),Paris,🔌 Integrations / Systems / Tech,contact@roundtable.eu,https://www.welcometothejungle.com/en/companies/roundtable/jobs/senior-backend-developer-m-f_paris,40-50
Roundtable,Senior Backend Developer - Toulouse (M/F),Toulouse,🔌 Integrations / Systems / Tech,contact@roundtable.eu,https://www.welcometothejungle.com/en/companies/roundtable/jobs/senior-backend-developer-toulouse-m-f_toulouse,40-50
Roundtable,Senior Full-stack Developer (M/F),Paris,🔌 Integrations / Systems / Tech,contact@roundtable.eu,https://www.welcometothejungle.com/en/companies/roundtable/jobs/senior-full-stack-developer-m-f_paris,40-50
Roundtable,Senior Full-stack Developer - Toulouse (H/F),Toulouse,🔌 Integrations / Systems / Tech,contact@roundtable.eu,https://www.welcometothejungle.com/en/companies/roundtable/jobs/senior-full-stack-developer-toulouse-m-f_toulouse,40-50
Runware,Developer Relations Engineer,San Francisco,🔌 Integrations / Systems / Tech,info@runware.ai,https://apply.workable.com/runware/j/EACD85DDD7/,28-28
SOUS,AI Automation Lead,Amsterdam,🔌 Integrations / Systems / Tech,thomas@poweredbysous.com,https://poweredbysous.com/careers/ai-automation-lead,11-50
Safello,Senior Backend Developer,Stockholm,🔌 Integrations / Systems / Tech,press@safello.com,https://careers.safello.com/jobs/5714377-senior-backend-developer,30-40
Sanvivo,Fullstack developer - Angular & NestJs - Full Remote,Munich,🔌 Integrations / Systems / Tech,info@sanvivo.eu,https://www.workatastartup.com/jobs/93213,1-11
Semactic,Business Developer (Belgium NL market) H/F,Nivelles,🔌 Integrations / Systems / Tech,info@semactic.com,https://semactic.com/en/jobs/seo-business-developer,11-50
Spadework,Frontend Developer,Amsterdam,🔌 Integrations / Systems / Tech,info@spadework.nl,https://spadework.ai/en/careers/frontend-developer,11-50
Spadework,Fullstack Developer,Amsterdam,🔌 Integrations / Systems / Tech,info@spadework.nl,https://spadework.ai/en/careers/fullstack-developer,11-50
Spectricity,Senior Process Integration Engineer,Mechelen,🔌 Integrations / Systems / Tech,info@spectricity.com,https://spectricity.com/jobs/senior-process-integration-engineer/,11-50
Stacks,Solutions Consultant - Accounting,Amsterdam,🔌 Integrations / Systems / Tech,hello@stacks.ai,https://jobs.ashbyhq.com/stacks/9b57d3d8-1593-49a5-b3d0-c551251a886e,11-50
Staxxer,Senior Backend Developer,Nijmegen,🔌 Integrations / Systems / Tech,support@staxxer.com,https://jobs.staxxer.com/o/senior-backend-developer-3,20-30
Subsets,Solutions Engineer,Copenhagen,🔌 Integrations / Systems / Tech,hiring@subsets.com,https://jobs.ashbyhq.com/subsets/e6f9518f-1970-41ef-983a-d1eee67cc503,6-11
Supernova,Developer advocate,Prague,🔌 Integrations / Systems / Tech,support@supernova.io,https://supernova.bamboohr.com/careers/33?source=aWQ9MjU%3D,30-44
Supernova,Senior / Staff QA Automation,Prague,🔌 Integrations / Systems / Tech,support@supernova.io,https://supernova.bamboohr.com/careers/36?source=aWQ9MjU%3D,30-44
Tanaza,Senior Front End React Developer,Milan,🔌 Integrations / Systems / Tech,sales@tanaza.com,https://www.tanaza.com/gestion-et-controle-des-reseaux-wifi/,11-20
Tanaza,Senior Full-stack Javascript Developer,Milan,🔌 Integrations / Systems / Tech,sales@tanaza.com,https://www.tanaza.com/gerenciamento-e-controle-de-redes-wi-fi/,11-20
Topi,Key Account Manager PEAC Solutions UK (m/f/d) (EN),Bracknell,🔌 Integrations / Systems / Tech,info@topi.eu,https://topi.jobs.personio.com/job/2635193,11-50
Topi,Partnerships Manager PEAC Solutions UK (m/f/d) (EN),Bracknell,🔌 Integrations / Systems / Tech,info@topi.eu,https://topi.jobs.personio.com/job/2635167,11-50
Trendtracker,Senior Full-Stack Developer (AI Product Team),Ghent,🔌 Integrations / Systems / Tech,info@trendtracker.ai,https://www.trendtracker.ai/careers/full-stack-developer,20-50
Turian,Sales Order Automation Specialist,Berlin,🔌 Integrations / Systems / Tech,info@turian.ai,https://www.turian.ai/about-us,11-50
TurinTech AI,Developer Advocate / Developer Content Engineer,London,🔌 Integrations / Systems / Tech,contact@turintech.ai,https://turintech.ai/careers/developer-advocate,39-47
Tweaq,Business Developer – Fleet,Eindhoven,🔌 Integrations / Systems / Tech,careers@tweaq.com,https://www.tweaq.com/en/careers/business-developer-fleet-electrification,2-10
Tweaq,Energy Solutions Engineer,Eindhoven,🔌 Integrations / Systems / Tech,careers@tweaq.com,https://www.tweaq.com/en/careers/energy-solutions-engineer,2-10
Updraft,Senior Backend Developer (Django/Python),London,🔌 Integrations / Systems / Tech,support@updraft.com,https://apply.workable.com/updraft/j/6F1417D30F/,40-50
Vestack,Senior Manager Revenue Management Solutions F/M/X,Issy-les-Moulineaux,🔌 Integrations / Systems / Tech,hello@vestack.com,https://www.welcometothejungle.com/en/companies/accor-tech/jobs/senior-manager-revenue-management-solutions-f-m-x_issy-les-moulineaux,43-44
Vestack,Senior Site Reliability Engineer - Automation Platform (x/f/m),Paris,🔌 Integrations / Systems / Tech,hello@vestack.com,https://www.welcometothejungle.com/en/companies/doctolib/jobs/senior-site-reliability-engineer-automation-platform-x-f-m_paris_DOCTO_ZDPapd6,43-44
Volcaino,Frontend Developer,Ghent,🔌 Integrations / Systems / Tech,info@volcaino.com,https://www.volcaino.com/career/frontend-developer,5-15
Vox AI,Senior Python Developer - Integrations,Amsterdam,🔌 Integrations / Systems / Tech,info@vox.ai,https://join.com/companies/vox/16165851-senior-python-developer-integrations,2-10
Vox AI,Senior Python Developer: Systems & POS Integrations,Amsterdam,🔌 Integrations / Systems / Tech,info@vox.ai,https://join.com/companies/vox/16125574-senior-python-developer-systems-and-pos-integrations,2-10
Wave Photonics,Full-Stack Web Developer,Cambridge,🔌 Integrations / Systems / Tech,info@wavephotonics.com,https://apply.workable.com/wavephotonics/j/A62306B78B/,2-10
Wave Photonics,Scientific Simulation Software Developer,Cambridge,🔌 Integrations / Systems / Tech,info@wavephotonics.com,https://apply.workable.com/wavephotonics/j/AD5DDF18C4/,2-10
Waybiller,Full-Stack Developer,Tallinn,🔌 Integrations / Systems / Tech,waybiller@waybiller.com,https://resources.waybiller.com/full-stack-developer,10-20
Waypoint AI,Frontend Developer,Prague,🔌 Integrations / Systems / Tech,info@mywaypoint.ai,https://mywaypoint.ai/open-positions/frontend-developer,10-15
Waypoint AI,Senior Backend Engineer (AI Systems),Prague,🔌 Integrations / Systems / Tech,info@mywaypoint.ai,https://mywaypoint.ai/open-positions/senior-backend-engineer-ai-systems,10-15
Wexler,Forward Deployed Engineer (AI Solutions) - Atrix,New York City,🔌 Integrations / Systems / Tech,hello@wexler.ai,https://jobs.ashbyhq.com/Pear-VC/b78ff453-6996-4e0d-8e1e-a7ad61a71092,2-10
Wexler,"Founding Engineer (Distributed Systems) - Oodle - Bangalore, India",Remote,🔌 Integrations / Systems / Tech,hello@wexler.ai,https://jobs.ashbyhq.com/Pear-VC/481d3f8c-8bb9-4c0d-800d-aafd1f10b266,2-10
Wobby,Head of Developer Marketing,US-Remote,🔌 Integrations / Systems / Tech,info@wobby.ai,https://jobs.lever.co/actian/94c7e943-7d99-4cb7-b202-990c4cde35d4,7-12
Wobby,Senior Engineering Manager [gn] Connectivity and Integrations,Antwerp,🔌 Integrations / Systems / Tech,info@wobby.ai,https://jobs.lever.co/actian/28c47016-ff89-4650-8be4-284b358f006f,7-12
Yuka,Android Developer,Remote,🔌 Integrations / Systems / Tech,contact@yuka.io,https://yuka.io/team,11-50
Yuka,Back-end Developer,Remote,🔌 Integrations / Systems / Tech,contact@yuka.io,https://yuka.io/team,11-50
Yuka,iOS Developer,Remote,🔌 Integrations / Systems / Tech,contact@yuka.io,https://yuka.io/team,11-50
acemate,Mobile App Developer (React Native),Berlin,🔌 Integrations / Systems / Tech,info@acemate.ai,https://join.com/companies/acemate/16198122-mobile-app-developer-react-native,2-10
acemate,Product Developer / Software Developer,Berlin,🔌 Integrations / Systems / Tech,info@acemate.ai,https://join.com/companies/acemate/16176735-product-developer-software-developer,2-10
acemate,Product Engineer / Software Developer,Berlin,🔌 Integrations / Systems / Tech,info@acemate.ai,https://join.com/companies/acemate/16157592-product-engineer-software-developer,2-10
acemate,Senior Backend Developer,Berlin,🔌 Integrations / Systems / Tech,info@acemate.ai,https://join.com/companies/acemate/16197994-senior-backend-developer,2-10
acemate,Software Developer (Working Student),Berlin,🔌 Integrations / Systems / Tech,info@acemate.ai,https://join.com/companies/acemate/16198261-software-developer-working-student,2-10
feld.energy,Datentechniker (m/w/d) – PV-Anlagen & Datenintegration,Remote,🔌 Integrations / Systems / Tech,info@feld.energy,https://feld-energy.jobs.personio.com/job/2503958,10-25
iPronics,Senior AI Infrastructure & Networking Solutions Architect,Valencia,🔌 Integrations / Systems / Tech,info@ipronics.com,https://app.sesametime.com/jobs/ipronicsprogrammablephotonicssl/86958b7d-bef5-47c2-8c3d-7cb101348433/,44-44
konfetti,Frontend Developer - Nuxt/Vue (m/f/x) in Berlin,Berlin,🔌 Integrations / Systems / Tech,hallo@gokonfetti.com,https://join.com/companies/gokonfetti/16177785-frontend-developer-nuxt-vue-m-f-x-in-berlin,11-50
"80,000 Hours",Business Operations Associate / Specialist,London,⚙️ Operations & Recruiting,info@80000hours.org,https://80000hours.org/2026/05/business-operations-associate-specialist/,30-50
"80,000 Hours",Executive Assistant to Aric Floyd,London,⚙️ Operations & Recruiting,info@80000hours.org,https://80000hours.org/2026/04/open-contracting-position-on-the-video-team-executive-assistant-to-aric-floyd/,30-50
"80,000 Hours",People Operations Associate / Specialist,London,⚙️ Operations & Recruiting,info@80000hours.org,https://80000hours.org/2026/05/people-operations-associate-specialist-2/,30-50
"80,000 Hours",Recruiting Associate / Specialist,London,⚙️ Operations & Recruiting,info@80000hours.org,https://80000hours.org/2026/05/recruiting-associate-specialist-2/,30-50
"80,000 Hours",Senior Video Operations,London,⚙️ Operations & Recruiting,info@80000hours.org,https://80000hours.org/2026/05/senior-video-operations/,30-50
AIRMO,Field Operations / Environmental Specialist (w/m/d),Berlin,⚙️ Operations & Recruiting,info@airmo.io,https://airmo.jobs.personio.com/job/2643058,11-50
Alpic,Founders associate intern - Growth & business ops,Paris,⚙️ Operations & Recruiting,contact@alpic.ai,https://jobs.ashbyhq.com/alpic/5b968dcd-8a1b-4b7a-979b-bd496bb9d325,2-10
AmphiStar,HR MANAGER,Remote,⚙️ Operations & Recruiting,sales@amphistar.com,https://www.amphistar.com/team,11-50
Anima,Talent Lead,London,⚙️ Operations & Recruiting,support@animahealth.com,https://jobs.ashbyhq.com/Anima/8ce7c1b7-0f1c-4356-b89e-9e6ff76cb8a3,11-50
